,WC,TR,P01,P001,P0001
0,0.0,0.0,0.0,0.0,0.0
2,2470.0924,4082.2508,10329.3964,203.4464,5.6452
4,4009.8224,4103.3296,10339.492,273.8692,10.5496
6,5150.2096,4127.804,10351.3484,318.7612,14.5216
8,5855.814,4143.1968,10362.2548,358.2812,18.3496
10,6415.6396,4162.0892,10368.916,387.1,21.7384
12,6905.2908,4183.5776,10376.5748,413.4712,24.7548
14,7388.6512,4195.8792,10378.8236,440.018,28.114
16,7754.746,4206.1868,10393.866,461.9568,31.008
18,8156.1564,4222.8704,10398.3248,479.5984,33.9008
20,8536.2408,4232.926,10406.7828,497.7588,36.86
22,8889.062,4247.6992,10412.9712,514.2684,39.6612
24,9219.6492,4259.2968,10416.1776,530.192,42.5964
26,9569.9936,4269.6932,10427.32,546.1,45.1768
28,9825.9088,4275.0504,10428.8464,560.6676,47.93
30,10079.8888,4283.4916,10434.9852,571.9196,50.6812
32,10354.5776,4295.0744,10443.5564,584.2468,53.6576
34,10573.8508,4304.5708,10446.3796,597.5808,56.3056
36,10787.9784,4306.7292,10453.7928,609.1712,59.088
38,10994.9108,4319.1184,10457.858,621.0296,62.0136
40,11193.0472,4329.5016,10466.8676,633.5312,64.5764
42,11388.2676,4336.7392,10468.5816,644.2876,67.4784
44,11568.7188,4347.912,10476.85,657.1788,70.2864
46,11750.1792,4356.156,10481.4412,666.3616,72.7064
48,11915.186,4361.6448,10485.5632,675.7668,75.3432
50,12087.1104,4368.9568,10492.2928,684.76,78.0348
