WC,TR,P=0_01
0,0,0
352.5847,41.7878,6.007
584.3262,75.1018,11.8598
763.8209,106.8549,16.6632
919.2136,137.9701,21.259
1053.2436,167.7383,25.6815
1182.9593,196.8712,29.9954
1282.967,221.4147,34.2437
1387.2676,245.399,38.2024
1486.5266,267.7922,42.134
1585.3815,290.3361,46.0435
1678.1756,308.9661,50.0458
1769.1097,328.701,53.709
1845.9228,347.5832,57.3037
1928.0153,365.1168,60.8605
2008.5582,381.5536,64.3461
2086.2001,398.7951,67.59
2151.4594,413.9461,70.7864
2217.2398,428.7217,73.9392
2288.0552,443.1549,77.1603
2351.6646,457.4119,80.332
2412.6469,471.6018,83.6911
2474.583,486.785,86.6224
2529.267,500.8872,89.5193
2584.2939,514.4695,92.816
2639.4623,527.9283,95.8729
2694.0535,541.0392,98.8679
2752.3291,554.7223,101.7406
2808.2315,567.1434,104.6665
2864.6725,579.5899,107.5991
2919.1081,593.2939,110.3782
2970.4652,604.5503,113.2053
3022.5321,616.3346,115.9985
3072.645,627.1082,118.8575
3123.1161,637.4057,121.6536
3176.992,647.7836,124.3725
3227.6042,658.2444,126.9796
3279.4565,668.5662,129.5507
3326.8814,680.0771,132.1562
3369.081,690.2718,134.8527
3411.1665,700.8099,137.7757
3453.3698,711.2741,140.3416
3497.0629,721.5562,142.927
3542.6123,733.1015,145.3748
3585.5808,743.1792,148.015
3629.7626,752.7792,150.4766
3672.168,761.6652,152.8636
3718.3295,770.5897,155.28
3761.2884,779.532,157.8926
3799.9772,788.78,160.2657
3838.6179,797.7397,162.6256
