WC,TR,P001,P0001
0,0,0,0
488.0452,72.5372,11.9548,2.008
790.6316,134.4796,21.044,4.006
1030.416,175.0432,30.1296,6.0112
1311.6984,228.988,38.256,8.022
1474.098,278.8068,45.8752,10.0284
1643.538,313.0568,53.3204,12.0344
1794.0664,355.384,60.9228,14.0532
1927.6596,392.33,67.7684,16.0464
2080.94,423.4752,74.1316,18.0456
2226.5864,450.7204,80.1908,20.0444
2342.8428,475.9532,86.3404,22.0964
2463.3044,503.0352,92.6568,24.1468
2562.264,532.4712,98.948,26.1552
2648.1056,558.2204,105.0012,28.15
2719.378,576.9704,110.6332,30.142
2867.364,601.2588,116.4388,32.1488
2952.6984,621.2712,122.3056,34.1504
3029.0468,642.7312,127.7184,36.1592
3093.5592,659.2344,132.7472,38.1788
3192.6996,679.8648,137.838,40.1828
3297.3528,702.5656,142.76,42.1916
3382.2084,723.438,147.8836,44.2272
3455.7,739.364,152.7628,46.2544
3557.0628,762.3944,157.8244,48.3932
3658.12,778.844,162.8832,50.4532
