WC,TR,P01,P001,P0001
0,0,0,0,0
577.4052,74.4356,1235.8856,11.8852,2.708
921.1256,136.6632,1786.9216,21.0532,5.1788
1177.6508,197.1476,2129.3856,29.874,7.4156
1376.3796,244.9348,2398.806,38.062,9.8436
1578.1588,288.148,2587.5432,45.7624,12.1372
1765.6736,329.4996,2772.036,53.4144,14.5836
1927.0448,363.5528,2895.3092,60.5524,17.1188
2090.8492,398.0336,3032.1796,67.3532,19.62
2223.184,426.0512,3144.782,73.6424,21.9012
2359.8876,454.9804,3282.0332,80.0144,24.2976
2466.0264,482.268,3382.7044,86.0812,26.4888
2581.7456,512.3052,3477.1824,92.3444,28.8176
2693.8264,541.4408,3569.6672,98.4488,31.1376
2808.6372,567.4032,3651.9908,104.498,33.4392
2915.8584,592.1832,3726.5252,110.512,35.5104
3021.8052,615.3272,3798.2912,115.7672,37.6992
3118.604,638.132,3863.308,121.1708,39.7128
3222.8292,659.2664,3929.5816,126.7124,41.9624
3318.6992,680.1188,3988.8048,132.0188,44.1304
3415.0868,703.662,4053.152,136.924,46.4268
3505.6844,722.118,4104.6936,142.1932,48.6468
3587.268,742.0028,4169.7788,147.3408,51.0444
3683.1408,762.4552,4213.12,152.1056,53.2864
3759.6508,782.2624,4268.4024,157.46,55.5796
3847.8852,799.8412,4321.74,162.6308,57.69
